Well,Vol to Pool,Pool
A1,2.16,A1
B1,1.92,A1
C1,1.94,A1
D1,1.85,A1
E1,1.89,A1
F1,1.90,A1
G1,1.77,A1
H1,1.79,A1
A2,1.94,A2
B2,1.94,A2
C2,2.12,A2
D2,2.02,A2
E2,2.54,A2
F2,2.08,A2
G2,1.98,A2
H2,1.86,A2
A3,1.91,A3
B3,1.80,A3
C3,1.85,A3
D3,1.84,A3
E3,1.92,A3
F3,2.00,A3
G3,2.23,A3
H3,1.91,A3
A4,1.80,A4
B4,1.98,A4
C4,1.89,A4
D4,1.74,A4
E4,1.79,A4
F4,2.10,A4
G4,2.04,A4
H4,2.06,A4
